ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ckbatx92fhrps0a4205aqkm3h,ckbatqwfbav5p0bm251ldculn,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2Fd9a318de-818f-e574-7e97-5833beac596f-test_image_1.png?Expires=1593366060599&KeyName=labelbox-assets-key-1&Signature=WGtUMmAZgXyKFeoh3cJCESd8W8k,"{""objects"":[{""featureId"":""ckbatwwvm0jzz0y9k4crlhsy2"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":108,""left"":87,""height"":203,""width"":245},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbatwwvm0jzz0y9k4crlhsy2?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo"",""classifications"":[{""featureId"":""ckbausxds004n0y9kck8rgq5x"",""schemaId"":""ckbauib2o0lsc0yb27b9n27b3"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbausxec004o0y9k3apza5m3"",""schemaId"":""ckbauib390lsg0yb25umldal1"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbaut4dy004x0y9k7d6edw68"",""schemaId"":""ckbauib2o0lse0yb2281c9cyu"",""title"":""parking_place"",""value"":""parking_place"",""answers"":[{""featureId"":""ckbaut4ei004y0y9k428i7ukl"",""schemaId"":""ckbauib3b0lsq0yb25s8baoit"",""title"":""sidewalk"",""value"":""sidewalk""},{""featureId"":""ckbaut4su0kog0y9kd4r6d36l"",""schemaId"":""ckbauib3b0lso0yb2e8xhdiq9"",""title"":""reserved_parking_space"",""value"":""reserved_parking_space""}]},{""featureId"":""ckbaut86q0m120yb22rq10x1d"",""schemaId"":""ckbauljd40lux0yb214k52ssm"",""title"":""is_well_parked"",""value"":""is_well_parked"",""answer"":{""featureId"":""ckbaut88k0m140yb21t908p5b"",""schemaId"":""ckbauljdn0lv70yb2708jevir"",""title"":""yes"",""value"":""yes""}}]}],""classifications"":[{""featureId"":""ckbatx2t00lbj0yb21pqi7v1b"",""schemaId"":""ckbatw9k500ax0y9w0we30u2s"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbatx2tl0lbk0yb2907hfyb5"",""schemaId"":""ckbatw9kr00b50y9wcqvx9ino"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbatx5or0kng0y937mep3jzh"",""schemaId"":""ckbatw9k600az0y9w95ph7p2v"",""title"":""parking"",""value"":""parking"",""answers"":[{""featureId"":""ckbatx5pg0knh0y9347ut5lik"",""schemaId"":""ckbatw9l100b90y9wcar6gg9x"",""title"":""standing_up"",""value"":""standing_up""},{""featureId"":""ckbatx77k0k0a0y9kh3cx8ab1"",""schemaId"":""ckbatw9l100bb0y9w03hyg9mx"",""title"":""well_placed"",""value"":""well_placed""}]}]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591882810000,1591884415000,55.939,test_image_1.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbatx92fhrps0a4205aqkm3h
ckbatxov7hryf0a42odxf8en8,ckbatqwfbav610bm23nizf7h3,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2Fbdbf6a86-a50c-f81b-d332-0ea2fbb3cc67-test_image_4.png?Expires=1593366060602&KeyName=labelbox-assets-key-1&Signature=Or6IuenYI91srW6WH6FWBWfUvbY,"{""objects"":[{""featureId"":""ckbatxhdb0k0p0y9kgj3jf5w3"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":28,""left"":3,""height"":1407,""width"":1077},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbatxhdb0k0p0y9kgj3jf5w3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo"",""classifications"":[{""featureId"":""ckbausgx80knl0y9ke7rxeclv"",""schemaId"":""ckbauib2o0lsc0yb27b9n27b3"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbausgz70knm0y9kea0q6vmh"",""schemaId"":""ckbauib390lsg0yb25umldal1"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbaushww00en0z9m2k1sc7b0"",""schemaId"":""ckbauib2o0lse0yb2281c9cyu"",""title"":""parking_place"",""value"":""parking_place"",""answers"":[{""featureId"":""ckbaushyn00eo0z9m3f6hctsu"",""schemaId"":""ckbauib3a0lsk0yb297bihoxf"",""title"":""indoor"",""value"":""indoor""}]}]}],""classifications"":[{""featureId"":""ckbatxl540lby0yb2avg3h8vp"",""schemaId"":""ckbatw9k500ax0y9w0we30u2s"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbatxl6n0lbz0yb2gfcu2uyz"",""schemaId"":""ckbatw9kr00b50y9wcqvx9ino"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbatxmhj0k0s0y9ke6jfb1p8"",""schemaId"":""ckbatw9k600az0y9w95ph7p2v"",""title"":""parking"",""value"":""parking"",""answers"":[{""featureId"":""ckbatxmi20k0t0y9khc1eaobn"",""schemaId"":""ckbatw9l100b90y9wcar6gg9x"",""title"":""standing_up"",""value"":""standing_up""}]}]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591882830000,1591884301000,31.048,test_image_4.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbatxov7hryf0a42odxf8en8
ckbaty92ebzon0742nv28i3f9,ckbatqwfbav6d0bm25gsr1bzr,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2Fbf325aad-ae66-4b9d-681c-05e51cbdaa03-test_image_12.png?Expires=1593366060602&KeyName=labelbox-assets-key-1&Signature=iQEtUbpeWsROuLjiOyTaNwce-Ko,"{""objects"":[],""classifications"":[{""featureId"":""ckbatxuow00cd0y9w4jgv8xjq"",""schemaId"":""ckbatw9k500ax0y9w0we30u2s"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbatxuph00ce0y9w30eh83h8"",""schemaId"":""ckbatw9ks00b70y9w4u7i21zr"",""title"":""other"",""value"":""other""}}]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591882856000,1591884259000,29.398,test_image_12.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbaty92ebzon0742nv28i3f9
ckbatyocrhhu30769pqxr826c,ckbatqwfbav6p0bm2bg7271rx,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2Fd8ea41b7-d024-a575-cd99-cda06b09d734-test_image_15.png?Expires=1593366060603&KeyName=labelbox-assets-key-1&Signature=flRzwBjJQ5wun6F7_a-hUJQCT5Y,"{""objects"":[{""featureId"":""ckbatyiox0kok0y938jxwgunl"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":283,""left"":299,""height"":340,""width"":355},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbatyiox0kok0y938jxwgunl?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo""}],""classifications"":[{""featureId"":""ckbatykp30k1h0y9keyi4861e"",""schemaId"":""ckbatw9k500ax0y9w0we30u2s"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbatykpn0k1i0y9k7xst97ey"",""schemaId"":""ckbatw9kr00b50y9wcqvx9ino"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbatym8s0k1k0y9k2rpx76k5"",""schemaId"":""ckbatw9k600az0y9w95ph7p2v"",""title"":""parking"",""value"":""parking"",""answers"":[{""featureId"":""ckbatym9b0k1l0y9k1pngfgej"",""schemaId"":""ckbatw9l100b90y9wcar6gg9x"",""title"":""standing_up"",""value"":""standing_up""},{""featureId"":""ckbatymok0koo0y932lx36dip"",""schemaId"":""ckbatw9l100bb0y9w03hyg9mx"",""title"":""well_placed"",""value"":""well_placed""}]}]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591882876000,1591884252000,41.617,test_image_15.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbatyocrhhu30769pqxr826c
ckbau3pwchvc80a424vjiae2a,ckbatqwfbav5t0bm260go1j4u,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2F145d2464-9f95-4058-39a4-5135d3cd00c3-test_image_2.png?Expires=1593366060603&KeyName=labelbox-assets-key-1&Signature=b67hkxEBoK0ObcZDp5RIpBxnjGA,"{""objects"":[{""featureId"":""ckbatyv3z0lcu0yb2dq7a6wst"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":175,""left"":0,""height"":1381,""width"":1080},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbatyv3z0lcu0yb2dq7a6wst?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo"",""classifications"":[{""featureId"":""ckbauqzm70mc50zakcopx1owf"",""schemaId"":""ckbauib2o0lsc0yb27b9n27b3"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbauqzmq0mc60zak4i173ye1"",""schemaId"":""ckbauib390lsg0yb25umldal1"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbaur0u20kmm0y9kfqdm4iky"",""schemaId"":""ckbauib2o0lse0yb2281c9cyu"",""title"":""parking_place"",""value"":""parking_place"",""answers"":[{""featureId"":""ckbaur0ul0kmn0y9ka9b01as7"",""schemaId"":""ckbauib3a0lsk0yb297bihoxf"",""title"":""indoor"",""value"":""indoor""}]}]},{""featureId"":""ckbau2y6z0lr10zakd66g7f4e"",""schemaId"":""ckbatw9k600b10y9w9m6h7y6v"",""title"":""moped_seg"",""value"":""moped_seg"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckbau2y6z0lr10zakd66g7f4e?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo""}],""classifications"":[{""featureId"":""ckbatyxua0lnz0zak1tq4edz6"",""schemaId"":""ckbatw9k500ax0y9w0we30u2s"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbatyxvc0lo00zakhvxoh0we"",""schemaId"":""ckbatw9kr00b50y9wcqvx9ino"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbatyyzn0lo10zak9njoh1fs"",""schemaId"":""ckbatw9k600az0y9w95ph7p2v"",""title"":""parking"",""value"":""parking"",""answers"":[{""featureId"":""ckbatyz050lo20zak8lq440ep"",""schemaId"":""ckbatw9l100b90y9wcar6gg9x"",""title"":""standing_up"",""value"":""standing_up""}]}]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591883111000,1591884299000,250.298,test_image_2.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbau3pwchvc80a424vjiae2a
ckbau73ldhw7307141t1tzo02,ckbatqwfbav650bm2b6pw19o0,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2F18bb939e-07d6-7474-ac54-22611eb99fc2-test_image_9.png?Expires=1593366060604&KeyName=labelbox-assets-key-1&Signature=VBBQxh8ZS3fcpMbwmBeShlKbNHI,"{""objects"":[{""featureId"":""ckbau53dn0kth0y933rmxcwhl"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":35,""left"":88,""height"":1241,""width"":906},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbau53dn0kth0y933rmxcwhl?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo""},{""featureId"":""ckbau5sbi0lil0yb26frddyzp"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":227,""left"":684,""height"":472,""width"":373},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbau5sbi0lil0yb26frddyzp?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo""}],""classifications"":[{""featureId"":""ckbau56zo0li00yb21gtd26aq"",""schemaId"":""ckbatw9k500ax0y9w0we30u2s"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbau570m0li10yb2bx3d2lpa"",""schemaId"":""ckbatw9kr00b50y9wcqvx9ino"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbau585r0ktn0y93gx8y455r"",""schemaId"":""ckbatw9k600az0y9w95ph7p2v"",""title"":""parking"",""value"":""parking"",""answers"":[{""featureId"":""ckbau586d0kto0y93eo8l7r1s"",""schemaId"":""ckbatw9l100b90y9wcar6gg9x"",""title"":""standing_up"",""value"":""standing_up""},{""featureId"":""ckbau58hh0k5z0y9kfe4qb040"",""schemaId"":""ckbatw9l100bb0y9w03hyg9mx"",""title"":""well_placed"",""value"":""well_placed""}]}]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591883269000,1591884227000,191.729,test_image_9.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbau73ldhw7307141t1tzo02
ckbaun151hvvs0769aqo5m6x0,ckbatqwfbav6h0bm2fann5lc7,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2F1480ef83-8622-216a-32df-b4eedc51deb4-test_image_13.png?Expires=1593366060604&KeyName=labelbox-assets-key-1&Signature=FNpoG5AbfAJS8IKVpcHuuGHqJsA,"{""objects"":[{""featureId"":""ckbaumg9q0lvx0yb24x266cvf"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":281,""left"":56,""height"":1124,""width"":1375},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbaumg9q0lvx0yb24x266cvf?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo"",""classifications"":[{""featureId"":""ckbaumibd0kjf0y9k9cee1494"",""schemaId"":""ckbauib2o0lsc0yb27b9n27b3"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbaumibv0kjg0y9kemxfdx2o"",""schemaId"":""ckbauib390lsg0yb25umldal1"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbaumkwi0lvz0yb21yvq3oht"",""schemaId"":""ckbauib2o0lse0yb2281c9cyu"",""title"":""parking_place"",""value"":""parking_place"",""answers"":[{""featureId"":""ckbaumkx00lw00yb2cjskcpja"",""schemaId"":""ckbauib3b0lsq0yb25s8baoit"",""title"":""sidewalk"",""value"":""sidewalk""},{""featureId"":""ckbaumly10kjj0y9kdmw79cfy"",""schemaId"":""ckbauib3b0lso0yb2e8xhdiq9"",""title"":""reserved_parking_space"",""value"":""reserved_parking_space""}]},{""featureId"":""ckbaumo460lw80yb2fvlbeatt"",""schemaId"":""ckbauljd40lux0yb214k52ssm"",""title"":""is_well_parked"",""value"":""is_well_parked"",""answer"":{""featureId"":""ckbaumo4r0lw90yb2fh8943yk"",""schemaId"":""ckbauljdn0lv70yb2708jevir"",""title"":""yes"",""value"":""yes""}}]}],""classifications"":[]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591884012000,1591884171000,49.368,test_image_13.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbaun151hvvs0769aqo5m6x0
ckbaunkte038y0710np638t2w,ckbatqwfbav5x0bm2be1c7oze,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2Fbfbd75cf-3973-627f-4541-d648b2b6698d-test_image_3.png?Expires=1593366060605&KeyName=labelbox-assets-key-1&Signature=-EIUQenEUsXzPCg8-vvW0NnC-0g,"{""objects"":[{""featureId"":""ckbauncfe0l8z0y93aloy08r2"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":95,""left"":0,""height"":350,""width"":314},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbauncfe0l8z0y93aloy08r2?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo"",""classifications"":[{""featureId"":""ckbaune5g000e0y9kewl26hxs"",""schemaId"":""ckbauib2o0lsc0yb27b9n27b3"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbaune6b000g0y9ka8kpbatf"",""schemaId"":""ckbauib390lsg0yb25umldal1"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbaunfgx000h0y9k1wxa1sd8"",""schemaId"":""ckbauib2o0lse0yb2281c9cyu"",""title"":""parking_place"",""value"":""parking_place"",""answers"":[{""featureId"":""ckbaunfho000i0y9kb92139ot"",""schemaId"":""ckbauib3a0lsk0yb297bihoxf"",""title"":""indoor"",""value"":""indoor""}]}]}],""classifications"":[]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591884038000,1591884057000,24.977,test_image_3.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbaunkte038y0710np638t2w
ckbauoo3yhwob076926lfhm7e,ckbatqwfbav690bm26mcp12ox,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2F2fec6de7-98a1-6984-c25e-1646495f1356-test_image_11.png?Expires=1593366060605&KeyName=labelbox-assets-key-1&Signature=O3bQlaL8ustK-xw-oUOy8Y9yNcM,"{""objects"":[{""featureId"":""ckbauny0g0ma30zak08vpgz5h"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":523,""left"":416,""height"":532,""width"":357},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbauny0g0ma30zak08vpgz5h?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo"",""classifications"":[{""featureId"":""ckbauoaif0mad0zak64rce7je"",""schemaId"":""ckbauib2o0lsc0yb27b9n27b3"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbauoaj70mae0zakh5qw11dq"",""schemaId"":""ckbauib390lsg0yb25umldal1"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbauoe9y00c00z9mcap55ywl"",""schemaId"":""ckbauib2o0lse0yb2281c9cyu"",""title"":""parking_place"",""value"":""parking_place"",""answers"":[{""featureId"":""ckbauoeap00c10z9m32v3g3il"",""schemaId"":""ckbauib3b0lso0yb2e8xhdiq9"",""title"":""reserved_parking_space"",""value"":""reserved_parking_space""}]},{""featureId"":""ckbauoj8l0ly00yb2dsda9jhj"",""schemaId"":""ckbauljd40lux0yb214k52ssm"",""title"":""is_well_parked"",""value"":""is_well_parked"",""answer"":{""featureId"":""ckbauoj9d0ly10yb2bsbwek3a"",""schemaId"":""ckbauljdn0lv70yb2708jevir"",""title"":""yes"",""value"":""yes""}}]}],""classifications"":[]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591884089000,1591884179000,55.877,test_image_11.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbauoo3yhwob076926lfhm7e
ckbaupdt2g1qm0720nlq1d7ac,ckbatqwfbav6l0bm24e97df07,https://storage.labelbox.com/ckbatelty04c30854h0sdlyjm%2F13e1a5ae-a5b5-ee90-aa47-1a76edda0273-test_image_14.png?Expires=1593366060606&KeyName=labelbox-assets-key-1&Signature=CtzUt8ncSFYiLXgERjfM1iSNzto,"{""objects"":[{""featureId"":""ckbauotp10mat0zakg2ve6n1j"",""schemaId"":""ckbatw9k700b30y9w6tmtdxxd"",""title"":""moped_bbox"",""value"":""moped_bbox"",""color"":""#FF8000"",""bbox"":{""top"":79,""left"":204,""height"":979,""width"":791},""instanceURI"":""https://api.labelbox.com/masks/feature/ckbauotp10mat0zakg2ve6n1j?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2JhdGVsdWdoaW40MDcxNG9mZnI0czU1Iiwib3JnYW5pemF0aW9uSWQiOiJja2JhdGVsdHkwNGMzMDg1NGgwc2RseWptIiwiaWF0IjoxNTkyMTU2NDYwLCJleHAiOjE1OTQ3NDg0NjB9.jTr-5r7ugtX-xALeh7oomxQYd-BCMELrsW8s-koZAMo"",""classifications"":[{""featureId"":""ckbaup5n60kl80y9k124o4b2l"",""schemaId"":""ckbauib2o0lsc0yb27b9n27b3"",""title"":""provider"",""value"":""provider"",""answer"":{""featureId"":""ckbaup5no0kl90y9k91n976l5"",""schemaId"":""ckbauib390lsg0yb25umldal1"",""title"":""evo"",""value"":""evo""}},{""featureId"":""ckbaupacq0klf0y9k8lsrejhy"",""schemaId"":""ckbauib2o0lse0yb2281c9cyu"",""title"":""parking_place"",""value"":""parking_place"",""answers"":[{""featureId"":""ckbaupbkd0klg0y9k97j95uf4"",""schemaId"":""ckbauib3b0lso0yb2e8xhdiq9"",""title"":""reserved_parking_space"",""value"":""reserved_parking_space""}]},{""featureId"":""ckbaupc1v0klk0y9khykvd3ds"",""schemaId"":""ckbauljd40lux0yb214k52ssm"",""title"":""is_well_parked"",""value"":""is_well_parked"",""answer"":{""featureId"":""ckbaupc2m0kll0y9k2w817e2n"",""schemaId"":""ckbauljdn0lv70yb2708jevir"",""title"":""yes"",""value"":""yes""}}]}],""classifications"":[]}",aymenbenothmenabo@gmail.com,Mopads Annotations,1591884122000,1592156444000,45.851,test_image_14.png,-1,-1,,,Mopeds (test),[],https://editor.labelbox.com?project=ckbaticku076v0750lo0xuhke&label=ckbaupdt2g1qm0720nlq1d7ac
